# word|German example|English
die Aporie|Die Debatte endet in einer Aporie: Keine Lösung ist befriedigend.|The debate ends in an impasse: no solution is satisfactory.
die Dichotomie|Die Dichotomie von Stadt und Land greift zu kurz.|The dichotomy of town and country falls short.
die Kontingenz|Die Autorin betont die Kontingenz historischer Entwicklungen.|The author stresses the contingency of historical developments.
die Reziprozität|Freundschaft beruht auf Reziprozität.|Friendship is based on reciprocity.
die Antinomie|Zwischen Freiheit und Sicherheit besteht eine Antinomie.|There is an antinomy between freedom and security.
das Postulat|Das Postulat der Gleichheit steht im Grundgesetz.|The postulate of equality is in the Basic Law.
die Maxime|Seine Maxime lautet: erst denken, dann handeln.|His maxim is: think first, then act.
die Konnotation|Das Wort hat eine negative Konnotation.|The word has a negative connotation.
die Denotation|Die Denotation eines Wortes ist seine Grundbedeutung.|The denotation of a word is its basic meaning.
der Duktus|Der Duktus des Briefes ist sehr förmlich.|The style of the letter is very formal.
die Redundanz|Streichen Sie die Redundanzen im zweiten Absatz.|Cut the redundancies in the second paragraph.
die Prägnanz|Ihre Reden zeichnen sich durch Prägnanz aus.|Her speeches are marked by conciseness.
der Euphemismus|„Freisetzen“ ist ein Euphemismus für „entlassen“.|"Release" is a euphemism for "dismiss".
die Ironie|Die Ironie in seiner Stimme war nicht zu überhören.|The irony in his voice was unmistakable.
der Sarkasmus|Mit Sarkasmus kommt man in Verhandlungen nicht weit.|Sarcasm won't get you far in negotiations.
die Metapher|„Das Licht am Ende des Tunnels“ ist eine Metapher.|"The light at the end of the tunnel" is a metaphor.
die Anspielung|Die Anspielung auf den Skandal verstand jeder.|Everyone understood the allusion to the scandal.
die Untertreibung|„Nicht schlecht“ war eine bewusste Untertreibung.|"Not bad" was a deliberate understatement.
die Übertreibung|Das ist eine maßlose Übertreibung.|That is a gross exaggeration.
der Beigeschmack|Der Sieg hat einen bitteren Beigeschmack.|The victory has a bitter aftertaste.
die Zwischentöne|Sie achtet auf die Zwischentöne im Gespräch.|She pays attention to the nuances in the conversation.
der Sprachduktus|Sein Sprachduktus verrät den Juristen.|His way of speaking gives away the lawyer.
die Floskel|„Wir melden uns“ ist oft nur eine Floskel.|"We'll be in touch" is often just an empty phrase.
das Schlagwort|„Nachhaltigkeit“ ist zum Schlagwort geworden.|"Sustainability" has become a buzzword.
der Fachjargon|Bitte erklären Sie das ohne Fachjargon.|Please explain that without jargon.
die Wortneuschöpfung|„Homeschooling“ war eine Wortneuschöpfung der Pandemie.|"Homeschooling" was a coinage of the pandemic.
das Sprichwort|Ein Sprichwort sagt: Übung macht den Meister.|A proverb says: practice makes perfect.
die Redensart|Diese Redensart kennt fast jeder.|Almost everyone knows this saying.
